dataset,subject,trial,speed_mps,k,n_strides,n_points,n_boot,n_boot_success,within_fid_mean,within_fid_q10,notes
vanhooren,Sub_01,0.0,2.78,3,69,200,100,100,0.9499071416554652,0.9492644698381852,
vanhooren,Sub_01,0.0,3.0,3,69,200,100,100,0.9563258433492048,0.9557083270119086,
vanhooren,Sub_01,0.0,3.33,2,69,200,100,100,0.9130086448089868,0.9120159046647568,
vanhooren,Sub_01,0.0,4.0,2,69,200,100,100,0.9328740143634294,0.9323955889469708,
vanhooren,Sub_01,0.0,5.0,3,69,200,100,100,0.9632856095179372,0.9626839509502552,
vanhooren,Sub_02,0.0,2.78,3,80,200,100,100,0.9428489215543632,0.942407766639006,
vanhooren,Sub_02,0.0,3.0,3,80,200,100,100,0.9615061060223666,0.961203133321766,
vanhooren,Sub_02,0.0,3.33,4,80,200,100,100,0.9707571406223416,0.9698555767703668,
vanhooren,Sub_02,0.0,4.0,5,80,200,100,100,0.980734030117542,0.9802061820968252,
vanhooren,Sub_02,0.0,5.0,3,80,200,100,100,0.9364681428270122,0.9358424798787998,
vanhooren,Sub_03,0.0,2.78,4,67,200,100,100,0.983761,0.983312,
vanhooren,Sub_03,0.0,3.0,3,67,200,100,100,0.9729472406983452,0.9724185165716972,
vanhooren,Sub_03,0.0,3.33,3,67,200,100,100,0.9621716397630274,0.9610637770965412,
vanhooren,Sub_03,0.0,4.0,4,67,200,100,100,0.981144799707551,0.980612672979998,
vanhooren,Sub_03,0.0,5.0,4,67,200,100,100,0.9812254032637096,0.9808038099891944,
vanhooren,Sub_04,0.0,2.78,3,79,200,100,100,0.9508874281275712,0.9505133426737176,
vanhooren,Sub_04,0.0,3.0,4,79,200,100,100,0.9759308984243676,0.9752732263384007,
vanhooren,Sub_04,0.0,3.33,5,79,200,100,100,0.9882596534780276,0.9880148959144788,
vanhooren,Sub_04,0.0,4.0,4,79,200,100,100,0.9759792863495672,0.9754426356728604,
vanhooren,Sub_04,0.0,5.0,3,79,200,100,100,0.9406811686474964,0.940075563719033,
vanhooren,Sub_05,0.0,2.78,5,60,200,100,100,0.9789533692920824,0.977884680674118,
vanhooren,Sub_05,0.0,3.0,3,60,200,100,100,0.9218311766997912,0.9209203981814368,
vanhooren,Sub_05,0.0,3.33,5,60,200,100,100,0.978165567705981,0.977764488271162,
vanhooren,Sub_05,0.0,4.0,3,60,200,100,100,0.9347321837761932,0.9338945236037264,
vanhooren,Sub_05,0.0,5.0,3,60,200,100,100,0.9431580009929684,0.9420358928441204,
vanhooren,Sub_06,0.0,2.78,2,77,200,100,100,0.9210327883078876,0.9204797919883794,
vanhooren,Sub_06,0.0,3.0,4,77,200,100,100,0.9805301376653917,0.9798614368447024,
vanhooren,Sub_06,0.0,3.33,3,77,200,100,100,0.9589981422764484,0.9585197524860362,
vanhooren,Sub_06,0.0,4.0,3,77,200,100,100,0.9413998500014976,0.9411224387653776,
vanhooren,Sub_06,0.0,5.0,3,77,200,100,100,0.9259917575369552,0.9252030999612644,
vanhooren,Sub_08,0.0,2.78,3,54,200,100,100,0.9301937470223366,0.9298507567021218,
vanhooren,Sub_08,0.0,3.0,3,54,200,100,100,0.9186651067833986,0.9183549095179356,
vanhooren,Sub_08,0.0,3.33,3,54,200,100,100,0.925646746219593,0.9252673287838435,
vanhooren,Sub_08,0.0,4.0,4,54,200,100,100,0.966104898497359,0.9656484557403628,
vanhooren,Sub_08,0.0,5.0,3,54,200,100,100,0.923504370556814,0.9229159922312404,
vanhooren,Sub_09,0.0,2.78,2,68,200,100,100,0.9524818210807796,0.9519213173913476,
vanhooren,Sub_09,0.0,3.0,2,68,200,100,100,0.9562940211535698,0.9558707779034809,
vanhooren,Sub_09,0.0,3.33,3,68,200,100,100,0.9729959192816447,0.9724337788897144,
vanhooren,Sub_09,0.0,4.0,4,68,200,100,100,0.9877734191336024,0.9872856080260328,
vanhooren,Sub_09,0.0,5.0,4,68,200,100,100,0.9888728687240952,0.9883899908789128,
vanhooren,Sub_10,0.0,2.78,3,61,200,100,100,0.9533701822123468,0.952830519835188,
vanhooren,Sub_10,0.0,3.0,3,61,200,100,100,0.95000398770318,0.9495856858270804,
vanhooren,Sub_10,0.0,3.33,3,61,200,100,100,0.9585052741585076,0.9579468184914238,
vanhooren,Sub_10,0.0,4.0,3,61,200,100,100,0.9394955683090248,0.9388113101488924,
vanhooren,Sub_10,0.0,5.0,3,61,200,100,100,0.919654180113361,0.9189688741597996,
vanhooren,Sub_11,0.0,2.78,3,64,200,100,100,0.9884591593807466,0.9881555861689494,
vanhooren,Sub_11,0.0,3.0,3,64,200,100,100,0.984949340341564,0.9843946026503292,
vanhooren,Sub_11,0.0,3.33,3,64,200,100,100,0.9849392265691548,0.9844241582403018,
vanhooren,Sub_11,0.0,4.0,3,64,200,100,100,0.9790942189321992,0.9785995904332916,
vanhooren,Sub_11,0.0,5.0,3,64,200,100,100,0.9880811465847176,0.9875160447774394,
vanhooren,Sub_13,0.0,2.78,3,82,200,100,100,0.9574339894715028,0.957132993534662,
vanhooren,Sub_13,0.0,3.0,4,82,200,100,100,0.9782837153898872,0.9780023292942795,
vanhooren,Sub_13,0.0,3.33,4,82,200,100,100,0.9747836012868814,0.9744736475106308,
vanhooren,Sub_13,0.0,4.0,3,82,200,100,100,0.9512509229289792,0.9508441233521862,
vanhooren,Sub_13,0.0,5.0,4,82,200,100,100,0.9714743729773696,0.9709306869331998,
vanhooren,Sub_14,0.0,2.78,3,30,200,100,100,0.9182671845240116,0.9168479523072176,
vanhooren,Sub_14,0.0,3.0,3,30,200,100,100,0.9397910172842028,0.938640070435521,
vanhooren,Sub_14,0.0,3.33,3,30,200,100,100,0.9365842821800752,0.9354116501745554,
vanhooren,Sub_14,0.0,4.0,3,30,200,100,100,0.931143634791026,0.9300149113528235,
vanhooren,Sub_14,0.0,5.0,3,30,200,100,100,0.9263482826710564,0.923470085500321,
vanhooren,Sub_15,0.0,2.78,4,86,200,100,100,0.9849437467672972,0.9847831178031023,
vanhooren,Sub_15,0.0,3.0,4,86,200,100,100,0.987028932277567,0.9869137106427454,
vanhooren,Sub_15,0.0,3.33,4,86,200,100,100,0.9853911077874308,0.985176744382936,
vanhooren,Sub_15,0.0,4.0,4,86,200,100,100,0.9841497628651088,0.983932145833086,
vanhooren,Sub_15,0.0,5.0,3,86,200,100,100,0.9314070160151126,0.9311198666491616,
vanhooren,Sub_16,0.0,2.78,3,40,200,100,100,0.9421827591132984,0.9412015881390936,
vanhooren,Sub_16,0.0,3.0,3,40,200,100,100,0.9436234034292202,0.9427985100183144,
vanhooren,Sub_16,0.0,3.33,2,40,200,100,100,0.9169009937621522,0.9160548393081622,
vanhooren,Sub_16,0.0,4.0,2,40,200,100,100,0.9063861225586471,0.9056482792975314,
vanhooren,Sub_16,0.0,5.0,3,40,200,100,100,0.9267760766383968,0.9248945136748048,
vanhooren,Sub_17,0.0,2.78,4,34,200,100,100,0.963632778181863,0.9626039254279616,
vanhooren,Sub_17,0.0,3.0,4,34,200,100,100,0.9696212739893189,0.968817891651564,
vanhooren,Sub_17,0.0,3.33,3,34,200,100,100,0.936518943514387,0.9357051291107464,
vanhooren,Sub_17,0.0,4.0,3,34,200,100,100,0.9301510587279436,0.9287482632362088,
vanhooren,Sub_17,0.0,5.0,3,34,200,100,100,0.919027172645242,0.9176220383447168,
vanhooren,Sub_18,0.0,2.78,4,61,200,100,100,0.9736862067841306,0.973211736688578,
vanhooren,Sub_18,0.0,3.0,4,61,200,100,100,0.9730878215381444,0.9725864688414316,
vanhooren,Sub_18,0.0,3.33,3,61,200,100,100,0.9279426483834198,0.9270142643148046,
vanhooren,Sub_18,0.0,4.0,4,61,200,100,100,0.9677851483733952,0.967292970768574,
vanhooren,Sub_18,0.0,5.0,3,61,200,100,100,0.9294774041625236,0.9287461853955064,
vanhooren,Sub_19,0.0,2.78,5,56,200,100,100,0.967912737450021,0.9675299318397872,
vanhooren,Sub_19,0.0,3.0,4,56,200,100,100,0.9293308184168524,0.9282202833492452,
vanhooren,Sub_19,0.0,3.33,5,56,200,100,100,0.9821329343987928,0.9817455031809792,
vanhooren,Sub_19,0.0,4.0,5,56,200,100,100,0.9750202804774516,0.974400946921043,
vanhooren,Sub_19,0.0,5.0,3,56,200,100,100,0.9051064972700033,0.9040095379304696,
